10 0.316227766016838 0.749809575825756 0.237592653589793  0.968000000000001 0.246407346410207 1.936 0.237592653589793
12 0.288675134594813 0.688822801489506 0.318259320256459  1.61333333333333 0.0850740130768739 1.61333333333333 0.0850740130768739
15 0.258198889747161 0.612216955008598 0.237592653589793  1.72857142857143 0.0850740130768739 0.864285714285715 0.0850740130768739
18 0.235702260395516 0.566867550933887 0.452703764700904  0.537777777777778 0.183814875812015 1.61333333333333 0.353962901965763
22 0.21320071635561 0.513809303146605 0.501592653589793  0.44 0.158407346410207 0.88 0.378407346410207
27 0.192450089729875 0.449804893717525 0.0941852461823851  0.585054945054945 0.0941852461823851 0.824395604395604 0.264333272336133
33 0.174077655955698 0.419523539268061 0.501592653589793  0.106764705882353 0.0615926535897926 0.480441176470588 0.0615926535897926
41 0.156173761888606 0.376927407522502 0.544519482858085  0.149809523809524 0.0723243609068658 0.633809523809524 0.163773200068744
51 0.140028008402801 0.335660654341797 0.389435790844695  0.498892307692308 0.104729908491754 0.513784615384616 0.274877934645502
63 0.125988157669742 0.301764168212058 0.375878367875507  0.0975806451612903 0.0685767805739199 0.361048387096774 0.00824861625147744
78 0.11322770341446 0.269561188558078 0.287233679230818  0.372307692307692 0.0230227310255922 0.372307692307693 0.27122785923072
97 0.101534616513362 0.238706501332233 0.147778220600102  0.335425170068027 0.0479844061671124 0.0679081632653063 0.151603222698868
121 0.0909090909090909 0.212657331159468 0.101592653589793  0.0502513661202183 0.101592653589793 0.105792349726776 0.138407346410207
151 0.0813788458771159 0.190254858840498 0.0965595410070113  0.0866105263157897 0.000400600609660184 0.23520701754386 0.0957583397876909
188 0.0729324957489473 0.170646981803375 0.103720313164261  0.0514893617021275 0.0264862706110693 0.102978723404255 0.153726495346378
235 0.0652328073053442 0.150905270582691 0.0110394621004306  0.138125452701724 0.0110394621004306 0.315164421266116 0.00955628258042029
293 0.0584206237836986 0.134697861443564 0.0134926706422895  0.176578138104557 0.0300114419733473 0.153575622029634 0.00302610068876863
366 0.0522708373489317 0.120862830746408 0.00749429293405468  0.0793442622950815 0.00749429293405468 0.13224043715847 0.0454018819293327
457 0.0467780269724988 0.107680037761421 0.0250594251848244  0.07100743124186 0.0067130036992018 0.0984463341760515 0.0067130036992018
571 0.0418486975318687 0.0962853278385692 0.0285649646238677  0.0787368421052634 0.0222931789838383 0.0279082321187587 0.0138168217158872
713 0.0374502943136569 0.0854764250867166 0.082811273478931  0.0319132596858968 0.00135264795298395 0.0223925974884336 0.00135264795298395
