10 0.316227766016838 0.134201712936686 0.334144318340643  0.193779668028719 0.205287703222546 0.745313561215176 0.169405476524334
12 0.288675134594813 0.113527221360891 0.341243396994404  0.156220818787556 0.19394192958239 0.636191174634278 0.0876481778280582
15 0.258198889747161 0.123673527095267 0.216918661601343  0.07229808050529 0.246373119780201 0.513944199171769 0.00528056696570989
18 0.235702260395516 0.111415347619071 0.295914788151328  0.159455337620507 0.294232348778925 0.59135198176068 0.0838290809799151
22 0.21320071635561 0.0924413255306502 0.315564577611319  0.283314200663446 0.321933244857687 0.505339103562157 0.13470565181248
27 0.192450089729875 0.0767686626853663 0.315541967266514  0.323039693962798 0.37541691755526 0.636280258029061 0.381325529938683
33 0.174077655955698 0.0661486570441473 0.352274156690101  0.247047074006405 0.391107333303111 0.814998576045421 0.387215875167596
41 0.156173761888606 0.153181722976138 0.131490716317978  0.178254091685047 0.216483464614526 0.780533311796613 0.300050038050899
51 0.140028008402801 0.126041552786549 0.146623692148608  0.268607145170278 0.218186669394556 0.6157814264272 0.212701659270201
63 0.125988157669742 0.105510961304228 0.13252246183837  0.299783778139175 0.235564788685204 0.260975038291967 0.301674427066816
78 0.11322770341446 0.131507838549736 0.177360971507856  0.0514141746837326 0.236652583157843 0.242783651274319 0.206321662087297
97 0.101534616513362 0.108954091226601 0.203253795962255  0.0982510374116736 0.243827421207321 0.181052787858271 0.130187989130626
121 0.0909090909090909 0.0913501066146592 0.214993211077985  0.0888315038360898 0.20648663142383 0.504867653268872 0.0545243136744422
151 0.0813788458771159 0.082409715719244 0.199344880043538  0.022704025020546 0.21940319093037 0.562936371621669 0.0658822302407729
188 0.0729324957489473 0.0693673023904032 0.206969844176985  0.112713605690044 0.21128073322352 0.59136022902047 0.151894320959938
235 0.0652328073053442 0.0569530951847485 0.224648733790934  0.283341172283848 0.0713152351344455 0.224318395872796 0.0607761861766789
293 0.0584206237836986 0.0582489969836299 0.215929558505303  0.238774840020473 0.0968920252828762 0.0284722411095103 0.0334618503314612
366 0.0522708373489317 0.0861092014053209 0.00609786199735463  0.215195113617236 0.106431557031397 0.0829898431945303 0.103373691082982
457 0.0467780269724988 0.0745436514786906 0.0265792832082816  0.11613237099913 0.114878788301861 0.00641146700429021 0.0553945518139074
571 0.0418486975318687 0.0612671951530752 0.0631713934598881  0.09825573038223 0.134045086370268 0.133727060570293 0.0991266684457368
713 0.0374502943136569 0.0473850849341759 0.178184530802677  0.0331265497863203 0.107527969536803 0.0260539646291624 0.0777597103464338
891 0.0335012605086404 0.0754713253047757 0.0272991902192421  0.011349667902138 0.120397136468228 0.067958587738607 0.0392891752625353
1113 0.029974532466509 0.0614744970001857 0.0592776989930393  0.0825675110411591 0.0849181142527669 0.0574476427922854 0.0578575097790579
1391 0.0268124460085859 0.118683512741431 0.00341408757912354  0.0382249875657641 0.0850889117873364 0.0334558252994514 0.0881716101062688
1738 0.0239869546440458 0.0422875818516405 0.067381896412585  0.0644879932965991 0.0864343233864062 0.0791919359865671 0.0831898802528988
2172 0.0214570537711437 0.0341405901257104 0.0727168628739749  0.00104712034137269 0.0780906926031018 0.042556840162948 0.0742066686430685
2715 0.0191917723316582 0.0507382655042869 0.0458000915625605  0.00763951729135307 0.0867445882108797 0.0235117847852375 0.0665795011482599
3393 0.0171675400874868 0.206522597334431 0.265571099936541  0.000951424829720484 0.0879690061380349 0.0141520083208896 0.0726269442608334
4241 0.0153555672295826 0.0831274390023862 0.0248924406735362  0.0287775876411106 0.0666377677185506 0.021830757867594 0.0810683360380271
5301 0.0137347607238388 0.0252596278319506 0.0624667168618585  0.019224136979507 0.0735759134830374 0.014131722642669 0.0746170884598678
6626 0.0122849752037239 0.0260217447366748 0.0534835525107309  0.0624893416523281 0.0554134696034398 0.0467274051184197 0.0471422390285479
8282 0.0109883475416116 0.0357685963138846 0.00806336022905185  0.140557883249131 0.00504482142636475 0.111294895242033 0.0234092959175749
10352 0.00982851417463439 0.0246789956210391 0.0176332555517138  0.111583632951356 0.0174856606427336 0.0718116357100225 0.0364871968859741
12940 0.0087908903249211 0.0265142876976817 0.0200073223681849  0.0744581166255104 0.0193347407934108 0.00495958424719468 0.0456905828619045
16175 0.00786281133970751 0.0201423018522221 0.0304733320184039  0.0379606683352182 0.0231786381679755 0.0458982438331654 0.0436637295790758
20218 0.00703284270026926 0.0508576072547685 0.0215203623150833  0.0220520074867403 0.0259775434254483 0.0123417319559904 0.0427328832773668
25272 0.00629042796746998 0.0671121259938541 0.0438735426341483  0.026507687575573 0.0309967693789381 0.00492136500118506 0.0405012700414722
31590 0.00562632981713148 0.0198180253763315 0.024373674306196  0.0123975052363117 0.0165871257985883 0.0150030130870119 0.0363053434803486
39487 0.00503237423462913 0.0296790888921336 0.00167733027948636  0.0111950529744936 0.0187381117198673 0.00700582795375036 0.0394770403853317
49358 0.00450112654789556 0.0159873046802435 0.0128716674145548  0.0197876583114413 0.0223886061002239 0.0108985517526361 0.0341591040691758
61697 0.00402594628784967 0.0187343655729631 0.00419807459383392  0.00952506373388202 0.00974039584018893 0.0240682384318624 0.022553852883475
77121 0.00360092166582417 0.0163480905471831 0.0176024105581576  0.0208933788743333 0.00876373580861611 0.037451111102005 0.022918540366373
96401 0.00322076642682742 0.0116234706934331 0.0225001801822426  0.01533167842183 0.0127183295702027 0.0211371445104722 0.0243325007646795
120501 0.00288074405630835 0.0118753001436982 0.00731623857396402  0.0141699265286055 0.0163314028910833 3.44486633814683E-05 0.0243212535314565
150626 0.00257661795252888 0.0159227844894927 0.00575571900014649  0.0133934942229919 0.0149941544580892 0.00353335294811789 0.0212806470356606
188282 0.00230460021759216 0.0147881051095344 0.00870525723507942  0.00107356817135489 0.0126311209085046 0.0195271474715983 0.0155070799976185
235352 0.00206129928858712 0.00848000908871337 0.0217046153594695  0.00374717736891416 0.0145898806382927 0.00929806530775001 0.0191092654689087
294190 0.0018436821325011 0.0190812680925183 0.0141951695431282  0.00848697406103259 0.00980078653611138 0.0106039882117267 0.0195241585042409
367737 0.00164904055194186 0.00794831478484409 0.0147329092971487  0.00225694820029849 0.010910544867708 0.00238007226858156 0.0134893964779872
459671 0.00147494710980586 0.00590526796593243 0.0184757839372671  0.00400005343946382 0.0124720718718796 0.00829207443390071 0.014189845910785
574588 0.00131923366128295 0.0154904004665366 0.00438754822002241  0.00269247187649574 0.0107055782328456 0.0298818812361126 0.00524133980769315
718235 0.00117995845793384 0.00820696991767596 0.00927918621692192  0.0203554417979219 0.000241608572737473 0.00987241394435514 0.00836092165172309
897793 0.00105538736985182 0.00592716257728457 0.0159047499674072  0.0199652314689828 0.00162070952344728 0.0186432673565134 0.00552254683572162
1122241 0.000943967265776449 0.0105553795998379 0.00182539518698777  0.0151935634526225 0.00311425065869897 0.00582532211310864 0.00668861402269272
1402801 0.000844310065158595 0.0189573424131854 0.0113667035388472  0.00879105377546476 0.00372683848860733 0.00238760649002918 0.0061425380076694
1753501 0.00075517393374605 0.00506730410215918 0.011995443325844  0.00651430851797497 0.00429703985532504 0.00195018605707307 0.00485218496578876
