10 0.316227766016838 1.24962822547846 0.766212743106196  1.4712108351777 0.721845985455947 4.0385923784339 1.12229646437284
12 0.288675134594813 1.08667321744766 0.405519015661698  2.93300021116575 0.258575386609538 4.4448174430654 0.0210951935425348
15 0.258198889747161 0.924966533919207 0.0361508130348871  1.21889772256845 0.547236785452375 3.26877831669475 0.444683413206188
18 0.235702260395516 0.859147845771949 0.0902920225639803  0.60136372845951 0.067568121054653 4.23440377090695 0.408997389483476
22 0.21320071635561 0.833666021113073 0.202548686012787  0.526173083835323 0.304595030164543 2.12651186042629 0.65115934070256
27 0.192450089729875 0.758102079341322 0.975901985369708  1.29858239665886 0.0128278308726237 0.646686689950181 0.113130537412506
33 0.174077655955698 0.671128611945457 0.330012667667449  0.448720246792161 0.0855260304980972 2.23315431157748 0.340419614992531
41 0.156173761888606 0.607543078091423 0.251022545255553  0.453700472008608 0.182316377742806 2.22161528031478 0.254928528158605
51 0.140028008402801 0.529081158349791 0.123696038147642  0.0819206688186006 0.223417991408369 0.230172593407403 0.256165501935974
63 0.125988157669742 0.478564549672414 0.281315535023916  0.16046825353612 0.0261431798025442 0.008340953648942 0.311070420166772
78 0.11322770341446 0.414647999145337 0.384535349968743  0.0800301522015531 0.188028919807383 1.12089638938181 0.221106904879691
97 0.101534616513362 0.385187133122228 0.117882879975566  0.0768535639924076 0.101397880785931 0.628253457203489 0.119784810542869
121 0.0909090909090909 0.33757356705733 0.307122611213072  0.337030954902481 0.168940098655282 0.315892111585548 0.0942468262960445
151 0.0813788458771159 0.30711333998826 0.179392785579546  0.0213807989362608 0.131056769034302 0.280425058853995 0.0603046277191099
188 0.0729324957489473 0.279344124266132 0.0809394258940905  0.138115164490179 0.030032150264923 0.484212597574763 0.0977106684889617
235 0.0652328073053442 0.244848160996098 0.0378239952599477  0.213396112931959 0.00865784707666251 0.131083859298254 0.0253696607585989
293 0.0584206237836986 0.21968959585343 0.0718679063978271  0.30883210509213 0.00811592304899245 0.104838402777815 0.0125099682171457
366 0.0522708373489317 0.195988770900576 0.00333460568186483  0.0583571205597494 0.035348659719078 0.00379113062252945 0.0344796653303638
457 0.0467780269724988 0.17512014608208 0.056420218743491  0.0461783716873945 0.00697937068822396 0.110495619187176 0.0186609397647639
571 0.0418486975318687 0.157963177609883 0.0810945025910392  0.0231954322239037 0.00627502758494902 0.0772799371723676 0.0146668767993887
713 0.0374502943136569 0.140044319587714 0.0884703430850511  0.0106435470807244 0.0153035872024234 0.0137244974269533 9.67405940071053E-05
891 0.0335012605086404 0.124932010978126 0.0860814347690284  0.0407710799473279 0.0105399371792996 0.0425029316769863 0.0156062719282457
1113 0.029974532466509 0.112010917910378 0.108724581780143  0.0325078172362139 0.00556250191745633 0.00523172756871237 0.000750088291515461
1391 0.0268124460085859 0.100251087837121 0.0673001534730115  0.00114440409972089 0.000298158920972291 0.0645007094569331 0.017904923760256
1738 0.0239869546440458 0.0902514958511415 0.0456250155791422  0.00153785907921244 0.000539080020443894 0.00173125841235566 0.00234959506110277
2172 0.0214570537711437 0.0807713729681904 0.0332472044012575  0.00437151768022315 0.00110311383777351 0.0105059516702205 0.00242449945697887
2715 0.0191917723316582 0.0722065897471332 0.0152868047875656  0.0106293654280432 0.00405639273753922 0.0403238913607685 0.00502815840242521
3393 0.0171675400874868 0.064446471782428 0.0171758242974644  0.00898103297043357 0.00323155590066682 0.00345203442100728 0.000543687886859434
4241 0.0153555672295826 0.0578700258019035 0.0287341240867729  0.0128605716097094 0.00105801239870518 0.00139734602353908 0.00306784652827696
5301 0.0137347607238388 0.0516431949997186 0.00887831041803544  0.00549841222593034 0.00283202639320868 0.000919720523591516 6.16782214257761E-05
6626 0.0122849752037239 0.0464228662173264 0.0252555290064969  0.00127489321899332 0.00213484698324073 0.00553212839095524 0.00211352799155007
